GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
336123383,20150210,201502,2015,2015.1096,INDLEG,DELHI,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,11,4,11,4.75421969307215,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150210,http://www.rediff.com/news/report/delhi-polls-bjps-loss-in-delhi-a-rebuke-of-its-recent-performance/20150210.htm
336123390,20150210,201502,2015,2015.1096,INDLEG,JHARKHAND,IND,,,,,LEG,,,LEG,CONGRESS,,,,,,LEG,,,0,051,051,05,1,3.4,2,1,2,5.82706766917293,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150210,http://timesofindia.indiatimes.com/City/Ranchi/Delhi-sweep-boosts-AAP-morale-in-state/articleshow/46192696.cms
410507278,20150219,201502,2015,2015.1342,INDLEG,HARYANA,IND,,,,,LEG,,,IND,HARYANA,IND,,,,,,,,0,051,051,05,1,3.4,3,1,3,-2.40811153358681,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,20150219,http://www.firstpost.com/politics/nitish-manjhi-face-off-bjp-top-brass-wants-to-stay-neutral-no-way-says-bihar-unit-2108307.html
413576130,20150302,201503,2015,2015.1699,INDLEG,JAMMU AND KASHMIR,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,30,3,30,2.11274590956941,0,,,,,,,0,,,,,,,0,,,,,,,20150302,http://www.business-standard.com/article/pti-stories/nc-pdp-and-bjp-win-two-seats-each-in-the-upper-house-115030201215_1.html
411299031,20150222,201502,2015,2015.1425,INDLEG,BIHAR,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,10,1,10,-1.56195412473586,4,"Patna, Bihar, India",IN,IN34,25.6,85.1167,-2107500,0,,,,,,,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150222,http://www.firstpost.com/politics/bihar-live-nitish-kumar-to-be-sworn-in-as-cm-at-5-pm-today-2086009.html
437176745,20150530,201505,2015,2015.411,INDLEG,KERALA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,4,1,4,-0.29985007496252,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,0,,,,,,,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,20150530,http://www.newindianexpress.com/states/kerala/Cong-in-a-Frantic-Bid-to-Rope-in-Sulekha/2015/05/30/article2839820.ece
416723758,20150313,201503,2015,2015.2,INDLEG,MAHARASHTRA,IND,,,,,LEG,,,GOV,GOVERNOR,,,,,,GOV,,,1,051,051,05,1,3.4,4,1,4,-2.72727272727273,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,20150313,http://www.mid-day.com/articles/ncp-calls-motion-of-thanks-unconstitutional-as-sena-absent/16057175
435293549,20150522,201505,2015,2015.389,INDLEG,ASSAM,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,5,1,5,-2.95698924731183,0,,,,,,,0,,,,,,,0,,,,,,,20150522,http://economictimes.indiatimes.com/news/politics-and-nation/cash-strapped-assam-congress-govt-sanctions-jamboree-to-celebrate-14-years-in-power/articleshow/47383389.cms
438736404,20150605,201506,2015,2015.4247,INDLEG,DELHI,IND,,,,,LEG,,,GOVCVL,PRIME MINISTER,,,,,,GOV,CVL,,1,051,051,05,1,3.4,2,1,2,0.0,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Red Fort, Delhi, India",IN,IN07,28.6333,77.2333,-2109338,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150605,http://indiatoday.intoday.in/story/village-adoption-scheme-sansad-adarsh-gram-yojana-narendra-modi-delhi-bjp-mp/1/442494.html
435505607,20150523,201505,2015,2015.3918,INDLEG,MAHARASHTRA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,6,1,6,-1.69635284139101,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,0,,,,,,,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,20150523,http://www.mid-day.com/articles/rahul-gandhi-20-is-the-congress-marching-to-a-new-tune/16233176
